Request...
/Users/adam/sandbox/earthly/ast/listener.go
---
package ast

import (
	"github.com/antlr/antlr4/runtime/Go/antlr/v4"
	"github.com/earthly/earthly/ast/parser"
	"github.com/earthly/earthly/ast/spec"
)

// This file defines the structure and methods for parsing Earthly AST using ANTLR.
// It includes the listener implementation that constructs the AST from parsed tokens.

// block holds the parsed block of statements and directives.
type block struct {
	block         spec.Block
	statement     *spec.Statement
	withStatement *spec.WithStatement
	ifStatement   *spec.IfStatement
	elseIf        *spec.ElseIf
	tryStatement  *spec.TryStatement
	forStatement  *spec.ForStatement
	waitStatement *spec.WaitStatement
}

// listener is an implementation of EarthParserListener that constructs the AST.
type listener struct {
	*parser.BaseEarthParserListener

	tokStream *antlr.CommonTokenStream
	ef        *spec.Earthfile
	target    *spec.Target
	function  *spec.Function
	blocks    []*block
	command   *spec.Command

	stmtWords []string
	execMode  bool

	ctx             context.Context
	filePath        string
	enableSourceMap bool

	err error
}

// newListener creates a new listener instance for parsing.
func newListener(ctx context.Context, stream *antlr.CommonTokenStream, filePath string, enableSourceMap bool) *listener { ... }

// Err returns any parsing errors encountered by the listener.
func (l *listener) Err() error { ... }

// Earthfile returns the parsed Earthfile.
func (l *listener) Earthfile() spec.Earthfile { ... }

// EnterEarthFile is called when parsing enters the EarthFile rule.
func (l *listener) EnterEarthFile(c *parser.EarthFileContext) { ... }

// ExitEarthFile is called when parsing exits the EarthFile rule.
func (l *listener) ExitEarthFile(c *parser.EarthFileContext) { ... }

// EnterTarget is called when parsing enters the Target rule.
func (l *listener) EnterTarget(c *parser.TargetContext) { ... }

// EnterTargetHeader is called when parsing enters the TargetHeader rule.
func (l *listener) EnterTargetHeader(c *parser.TargetHeaderContext) { ... }

// ExitTarget is called when parsing exits the Target rule.
func (l *listener) ExitTarget(c *parser.TargetContext) { ... }

// EnterUserCommand is called when parsing enters the UserCommand rule.
func (l *listener) EnterUserCommand(c *parser.UserCommandContext) { ... }

// EnterUserCommandHeader is called when parsing enters the UserCommandHeader rule.
func (l *listener) EnterUserCommandHeader(c *parser.UserCommandHeaderContext) { ... }

// ExitUserCommand is called when parsing exits the UserCommand rule.
func (l *listener) ExitUserCommand(c *parser.UserCommandContext) { ... }

// EnterFunction is called when parsing enters the Function rule.
func (l *listener) EnterFunction(c *parser.FunctionContext) { ... }

// EnterFunctionHeader is called when parsing enters the FunctionHeader rule.
func (l *listener) EnterFunctionHeader(c *parser.FunctionHeaderContext) { ... }

// ExitFunction is called when parsing exits the Function rule.
func (l *listener) ExitFunction(c *parser.FunctionContext) { ... }

// EnterStmt is called when parsing enters the Stmt rule.
func (l *listener) EnterStmt(c *parser.StmtContext) { ... }

// ExitStmt is called when parsing exits the Stmt rule.
func (l *listener) ExitStmt(c *parser.StmtContext) { ... }

// EnterCommandStmt is called when parsing enters the CommandStmt rule.
func (l *listener) EnterCommandStmt(c *parser.CommandStmtContext) { ... }

// ExitCommandStmt is called when parsing exits the CommandStmt rule.
func (l *listener) ExitCommandStmt(c *parser.CommandStmtContext) { ... }

// EnterWithStmt is called when parsing enters the WithStmt rule.
func (l *listener) EnterWithStmt(c *parser.WithStmtContext) { ... }

// ExitWithStmt is called when parsing exits the WithStmt rule.
func (l *listener) ExitWithStmt(c *parser.WithStmtContext) { ... }

// EnterWithBlock is called when parsing enters the WithBlock rule.
func (l *listener) EnterWithBlock(c *parser.WithBlockContext) { ... }

// ExitWithBlock is called when parsing exits the WithBlock rule.
